ID,Metal,BDE,M-H,VMH,CoordNum,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum
ABAFIT.Ru.xyz,Ru,57.07,1.558163,2131.2,9,1,0,1,0,0,0,0,0,0,0,0,0,8
ABATOM.Ru.xyz,Ru,55.91,1.574017,2068.6,9,1,0,1,1,0,0,0,0,0,0,0,0,8
ABAXOS.Os.xyz,Os,62.38,1.628405,2072.2,6,2,0,0,1,0,0,0,1,0,0,0,0,8
ABAXUY.Os.xyz,Os,64.1,1.665175,1970.6,6,1,0,0,1,0,0,0,1,0,0,1,7,8
ABICET.Os.xyz,Os,56.07,1.614712,2123.6,6,1,0,0,1,0,0,0,1,0,1,0,0,8
ABUFAF.Ru.xyz,Ru,65.57,1.645616,1798.2,6,2,0,1,0,0,0,0,1,0,0,0,0,8
ABUFEJ.Ru.xyz,Ru,64.42,1.656016,1778.8,6,1,0,1,0,0,0,0,1,0,0,0,0,8
ACAYAH.Ir.xyz,Ir,62.69,1.594692,2103.3,8,1,0,1,1,0,0,0,0,0,0,0,0,9
ACIKEC.Os.xyz,Os,70.17,1.590833,2224.8,6,1,0,0,1,1,0,0,1,0,1,1,8,8
ACIZAQ.Ir.xyz,Ir,71.57,1.565099,2219.5,6,1,0,1,1,0,0,0,0,1,1,0,7,9
ACOBOK.Zr.xyz,Zr,56.79,1.819337,1679.6,12,1,0,1,0,1,0,0,0,0,0,0,0,4
ACOBUQ.Zr.xyz,Zr,60.87,1.851811,1580.7,13,2,0,1,0,0,0,0,0,0,0,0,0,4
ACOYOI.Pt.xyz,Pt,70.12,1.612587,1954.6,4,1,0,0,0,0,0,0,1,0,0,0,0,10
ACUXAA.Ru.xyz,Ru,59.61,1.57732,2076.6,6,1,0,1,1,0,0,0,1,0,0,1,0,8
ACUXEE.Ru.xyz,Ru,65.9,1.605579,1946.1,6,1,0,1,1,0,0,0,1,0,0,1,0,8
ACUXII.Ru.xyz,Ru,64.52,1.583141,2014.1,7,1,0,1,1,0,0,0,1,0,0,1,0,8
ADAHAO.Ru.xyz,Ru,66.79,1.580454,2066.8,8,1,0,1,0,0,0,0,0,0,0,1,0,8
ADELAZ.Fe.xyz,Fe,51.12,1.520017,1777,6,1,0,1,1,0,0,0,1,0,1,0,17,8
ADEMEE.Fe.xyz,Fe,52.36,1.528101,1756.3,6,1,0,1,1,1,0,0,1,0,0,0,8,8
ADEMII.Fe.xyz,Fe,47.77,1.501614,1835.3,5,1,0,1,1,0,0,0,1,0,0,0,0,8
ADISEO.Ir.xyz,Ir,73.14,1.582427,2136.4,7,1,0,1,1,0,0,0,0,0,1,0,17,9
ADIYET.Ru.xyz,Ru,64.85,1.640423,1873.9,6,2,0,0,0,0,0,0,1,0,0,0,15,8
ADIYIX.Ru.xyz,Ru,66.86,1.639834,1865.3,6,2,0,0,0,0,0,0,1,0,0,0,15,8
ADIYUK.Fe.xyz,Fe,44.82,1.498761,1946.8,6,1,1,1,0,0,0,0,1,0,0,-1,0,8
ADUFUB.Mo.xyz,Mo,53.3,1.674338,1858.8,9,2,0,1,0,0,0,0,1,0,0,1,0,6
ADUHEN.Hf.xyz,Hf,67.75,1.844254,1622.1,12,1,0,1,0,0,1,0,0,0,0,0,0,4
ADUHOX.Hf.xyz,Hf,63.52,1.843841,1626.2,12,1,0,1,0,1,0,0,0,0,0,0,0,4
ADULIW.Ni.xyz,Ni,53.18,1.516658,1905,4,1,0,1,0,0,0,0,0,0,0,0,6,10
ADULOC.Ir.xyz,Ir,66.3,1.60069,2262.1,5,1,0,1,0,0,0,0,1,0,0,1,0,9
ADUNEU.Ni.xyz,Ni,59.63,1.523736,1853.6,4,1,0,1,0,0,0,0,1,0,0,0,6,10
ADUYOP.Ru.xyz,Ru,65.5,1.586297,1996.9,9,1,0,1,0,0,0,0,1,0,0,0,0,8
AFADUI.Ru.xyz,Ru,59.83,1.531468,2233.5,5,1,0,1,0,0,0,0,1,0,0,1,0,8
AFAFAQ.Ru.xyz,Ru,69.33,1.561598,2039.4,5,2,0,1,0,0,0,0,1,0,0,0,1,8
AFALIF.Ru.xyz,Ru,60.29,1.547836,2131.4,5,1,0,0,0,0,0,0,1,0,0,1,0,8
AFASAD.Ru.xyz,Ru,63.45,1.684793,1796.2,6,2,0,1,0,0,0,0,1,0,0,0,1,8
AFASEH.Ru.xyz,Ru,62.92,1.695788,1772.2,6,2,0,1,0,0,0,0,1,0,0,0,1,8
AFASIL.Ru.xyz,Ru,64.73,1.640451,1835.8,6,2,0,1,0,0,0,0,1,0,0,0,6,8
AFASOR.Ru.xyz,Ru,66.51,1.575722,2039.5,7,1,0,1,0,1,0,0,1,0,0,0,0,8
AFASUX.Ru.xyz,Ru,58.59,1.542458,2147.8,5,1,0,1,0,0,0,0,1,0,0,1,0,8
AFEBIZ.Ru.xyz,Ru,62.2,1.583628,2020.8,6,1,0,1,1,0,0,0,1,0,1,0,17,8
AGAROS.Ag.xyz,Ag,68.08,1.646061,1706.4,2,1,0,1,0,0,0,0,0,0,0,0,6,11
AGAROS.Cu.xyz,Cu,74.98,1.527859,1724.4,2,1,0,1,0,0,0,0,0,0,0,0,6,11
