ID,Metal,Group,M-H,VMH1,VMH,BDE,Hydri-G,CoordNum,EN-M,EN-H,EN-B,EN-C,EN-N,EN-O,EN-F,EN-Si,EN-P,EN-S,EN-Cl,EA-M,EA-H,EA-B,EA-C,EA-N,EA-O,EA-F,EA-Si,EA-P,EA-S,EA-Cl,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum,AN-M,AR-M,AW-M,AV-M,MR-M,DP-M,mc-chi2,mc-chi3
ABAFIT.Ru.xyz,Ru,VIII ,1.558163,2220,2131.2,57.07,208.07,9,2.3,2.17,0,2.45,0,0,0,0,0,0,0,24.21,17.39,0,29.12,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,8,44,130,101.1,8.3,125,72,52.18,73.15
ABATOM.Ru.xyz,Ru,VIII ,1.574017,2154.8,2068.6,55.91,216.96,9,2.3,2.17,0,2.45,2.93,0,0,0,0,0,0,24.21,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,8,44,130,101.1,8.3,125,72,56.72,77.64
ABAXOS.Os.xyz,Os,VIII ,1.628405,2158.5,2072.2,62.38,204,6,2.2,2.17,0,0,2.93,0,0,0,2.46,0,0,25.37,17.39,0,0,0.01,0,0,0,17.2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,8,76,130,190.2,8.43,126,57,54.56,107.58
ABAXUY.Os.xyz,Os,VIII ,1.665175,2052.7,1970.6,64.1,278.71,6,2.2,2.17,0,0,2.93,0,0,0,2.46,0,0,25.37,17.39,0,0,0.01,0,0,0,17.2,0,0,1,0,0,3,0,0,0,2,0,0,1,7,8,76,130,190.2,8.43,126,57,60.17,113.19
ABICET.Os.xyz,Os,VIII ,1.614712,2212.1,2123.6,56.07,213.11,6,2.2,2.17,0,0,2.93,0,0,0,2.46,0,3.05,25.37,17.39,0,0,0.01,0,0,0,17.2,0,83.41,1,0,0,1,0,0,0,2,0,2,0,0,8,76,130,190.2,8.43,126,57,39.27,107.58
ABUFAF.Ru.xyz,Ru,VIII ,1.645616,1873.1,1798.2,65.57,184.45,6,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,8,44,130,101.1,8.3,125,72,54.6,89.76
ABUFEJ.Ru.xyz,Ru,VIII ,1.656016,1852.9,1778.8,64.42,181.04,6,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,3,0,0,0,0,2,0,0,0,0,8,44,130,101.1,8.3,125,72,69.89,93.83
ACAYAH.Ir.xyz,Ir,VIII ,1.594692,2190.9,2103.3,62.69,199.18,8,2.2,2.17,0,2.45,2.93,0,0,0,0,0,0,36.09,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,9,77,135,192.2,8.54,127,54,54.63,103.8
ACIKEC.Os.xyz,Os,VIII ,1.590833,2317.5,2224.8,70.17,317.79,6,2.2,2.17,0,0,2.93,3.61,0,0,2.46,0,3.05,25.37,17.39,0,0,0.01,33.69,0,0,17.2,0,83.41,1,0,0,1,1,0,0,2,0,1,1,8,8,76,130,190.2,8.43,126,57,48.95,107.58
ACIZAQ.Ir.xyz,Ir,VIII ,1.565099,2312,2219.5,71.57,225.23,6,2.2,2.17,0,2.45,2.93,0,0,0,0,2.64,3.05,36.09,17.39,0,29.12,0.01,0,0,0,0,47.9,83.41,1,0,1,2,0,0,0,0,1,1,0,7,9,77,135,192.2,8.54,127,54,56.1,120.78
