ID,Metal,BDE,CoordNum,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum
ABAFIT.Ru.xyz,Ru,57.07,9,1,0,1,0,0,0,0,0,0,0,0,0,8
ABATOM.Ru.xyz,Ru,55.91,9,1,0,1,1,0,0,0,0,0,0,0,0,8
ABAXOS.Os.xyz,Os,62.38,6,2,0,0,1,0,0,0,1,0,0,0,0,8
ABAXUY.Os.xyz,Os,64.1,6,1,0,0,1,0,0,0,1,0,0,1,7,8
ABICET.Os.xyz,Os,56.07,6,1,0,0,1,0,0,0,1,0,1,0,0,8
ABUFAF.Ru.xyz,Ru,65.57,6,2,0,1,0,0,0,0,1,0,0,0,0,8
ABUFEJ.Ru.xyz,Ru,64.42,6,1,0,1,0,0,0,0,1,0,0,0,0,8
ACAYAH.Ir.xyz,Ir,62.69,8,1,0,1,1,0,0,0,0,0,0,0,0,9
ACIKEC.Os.xyz,Os,70.17,6,1,0,0,1,1,0,0,1,0,1,1,8,8
ACIZAQ.Ir.xyz,Ir,71.57,6,1,0,1,1,0,0,0,0,1,1,0,7,9
ACOBOK.Zr.xyz,Zr,56.79,12,1,0,1,0,1,0,0,0,0,0,0,0,4
ACOBUQ.Zr.xyz,Zr,60.87,13,2,0,1,0,0,0,0,0,0,0,0,0,4
ACOYOI.Pt.xyz,Pt,70.12,4,1,0,0,0,0,0,0,1,0,0,0,0,10
ACUXAA.Ru.xyz,Ru,59.61,6,1,0,1,1,0,0,0,1,0,0,1,0,8
ACUXEE.Ru.xyz,Ru,65.9,6,1,0,1,1,0,0,0,1,0,0,1,0,8
ACUXII.Ru.xyz,Ru,64.52,7,1,0,1,1,0,0,0,1,0,0,1,0,8
ADAHAO.Ru.xyz,Ru,66.79,8,1,0,1,0,0,0,0,0,0,0,1,0,8
ADELAZ.Fe.xyz,Fe,51.12,6,1,0,1,1,0,0,0,1,0,1,0,17,8
ADEMEE.Fe.xyz,Fe,52.36,6,1,0,1,1,1,0,0,1,0,0,0,8,8
ADEMII.Fe.xyz,Fe,47.77,5,1,0,1,1,0,0,0,1,0,0,0,0,8
ADISEO.Ir.xyz,Ir,73.14,7,1,0,1,1,0,0,0,0,0,1,0,17,9
ADIYET.Ru.xyz,Ru,64.85,6,2,0,0,0,0,0,0,1,0,0,0,15,8
ADIYIX.Ru.xyz,Ru,66.86,6,2,0,0,0,0,0,0,1,0,0,0,15,8
ADIYUK.Fe.xyz,Fe,44.82,6,1,1,1,0,0,0,0,1,0,0,-1,0,8
ADUFUB.Mo.xyz,Mo,53.3,9,2,0,1,0,0,0,0,1,0,0,1,0,6
ADUHEN.Hf.xyz,Hf,67.75,12,1,0,1,0,0,1,0,0,0,0,0,0,4
ADUHOX.Hf.xyz,Hf,63.52,12,1,0,1,0,1,0,0,0,0,0,0,0,4
ADULIW.Ni.xyz,Ni,53.18,4,1,0,1,0,0,0,0,0,0,0,0,6,10
ADULOC.Ir.xyz,Ir,66.3,5,1,0,1,0,0,0,0,1,0,0,1,0,9
ADUNEU.Ni.xyz,Ni,59.63,4,1,0,1,0,0,0,0,1,0,0,0,6,10
ADUYOP.Ru.xyz,Ru,65.5,9,1,0,1,0,0,0,0,1,0,0,0,0,8
AFADUI.Ru.xyz,Ru,59.83,5,1,0,1,0,0,0,0,1,0,0,1,0,8
AFAFAQ.Ru.xyz,Ru,69.33,5,2,0,1,0,0,0,0,1,0,0,0,1,8
AFALIF.Ru.xyz,Ru,60.29,5,1,0,0,0,0,0,0,1,0,0,1,0,8
AFASAD.Ru.xyz,Ru,63.45,6,2,0,1,0,0,0,0,1,0,0,0,1,8
AFASEH.Ru.xyz,Ru,62.92,6,2,0,1,0,0,0,0,1,0,0,0,1,8
AFASIL.Ru.xyz,Ru,64.73,6,2,0,1,0,0,0,0,1,0,0,0,6,8
AFASOR.Ru.xyz,Ru,66.51,7,1,0,1,0,1,0,0,1,0,0,0,0,8
AFASUX.Ru.xyz,Ru,58.59,5,1,0,1,0,0,0,0,1,0,0,1,0,8
AFEBIZ.Ru.xyz,Ru,62.2,6,1,0,1,1,0,0,0,1,0,1,0,17,8
AGAROS.Ag.xyz,Ag,68.08,2,1,0,1,0,0,0,0,0,0,0,0,6,11
AGAROS.Cu.xyz,Cu,74.98,2,1,0,1,0,0,0,0,0,0,0,0,6,11
AGEHEZ.Pt.xyz,Pt,71.27,3,1,0,0,0,0,0,0,1,0,0,0,0,10
AGIDIE.Ir.xyz,Ir,76.75,6,2,0,0,1,0,0,0,1,0,0,0,7,9
AGIDOK.Ir.xyz,Ir,75.56,6,1,0,1,1,0,0,0,1,0,0,0,7,9
AGIJUV.Ta.xyz,Ta,59.08,9,1,0,1,1,0,0,1,0,0,1,-1,0,5
AGIKAC.Ta.xyz,Ta,64.09,8,1,0,1,1,0,0,1,0,0,0,0,0,5
AGIKEG.Ta.xyz,Ta,69.21,9,1,0,1,1,0,0,0,0,0,0,0,0,5
AGIKIK.Ta.xyz,Ta,69.98,9,2,0,1,1,0,0,0,0,0,0,0,0,5
AGOFAE.Pt.xyz,Pt,67.72,4,1,0,0,0,0,0,1,1,0,0,0,15,10
AGOZEC.Ru.xyz,Ru,56.82,6,1,0,1,1,0,0,0,1,0,0,0,15,8
AGOZEC01.Ru.xyz,Ru,56.82,6,1,0,1,1,0,0,0,1,0,0,0,15,8
AGULOG.Ir.xyz,Ir,70.43,5,1,0,1,0,0,0,0,0,0,0,0,0,9
AHARUX.Rh.xyz,Rh,54.76,5,1,0,1,0,1,0,0,1,0,0,1,0,9
AHASAE.Rh.xyz,Rh,58.85,5,1,0,1,0,1,0,0,1,0,0,1,0,9
AHASEI.Rh.xyz,Rh,56.09,6,1,0,1,0,0,0,0,1,0,0,1,6,9
AHEVIV.Re.xyz,Re,55.79,9,1,0,1,0,0,0,0,1,0,1,0,0,7
AHEVUH.Re.xyz,Re,55.96,9,1,0,1,0,0,0,0,1,0,1,0,0,7
AHEWAO.Re.xyz,Re,62.01,9,1,0,1,0,0,0,0,1,0,1,0,0,7
AHIGII.Ni.xyz,Ni,44.51,5,1,0,0,0,0,0,0,1,1,0,0,16,10
AHOBEH.Ir.xyz,Ir,64.44,7,2,0,1,0,0,0,0,0,0,1,0,0,9
AHUKEV.Fe.xyz,Fe,58.41,8,1,0,1,0,0,0,0,1,0,0,0,0,8
AHUKIZ.Fe.xyz,Fe,52.11,8,1,0,1,0,0,0,0,1,0,0,0,0,8
AHUKOF.Ir.xyz,Ir,66.22,8,2,0,1,0,0,0,0,0,0,0,0,0,9
AJAWOA.W.xyz,W,74.3,5,1,0,0,1,0,0,0,0,0,0,0,0,6
AJEZUK.Ir.xyz,Ir,74.67,6,1,0,1,0,0,0,0,1,0,1,0,17,9
AJIBAW.Ir.xyz,Ir,65.17,6,1,0,1,0,0,0,1,1,0,0,0,50,9
AJIBEA.Ir.xyz,Ir,69.49,5,1,0,1,0,0,0,0,1,0,0,1,0,9
AJIBIE.Ir.xyz,Ir,75.11,6,1,0,1,1,0,0,0,1,0,0,1,7,9
AJIBOK.Ir.xyz,Ir,67.18,6,1,0,1,0,0,0,0,1,0,0,1,15,9
AJUGIX.Fe.xyz,Fe,57.91,9,1,0,1,0,0,0,1,0,0,0,0,0,8
AJUGOD.Fe.xyz,Fe,56.65,9,1,0,1,0,0,0,1,0,0,0,0,0,8
AJUHAQ.Fe.xyz,Fe,55.4,9,1,0,1,0,0,0,1,0,0,0,0,0,8
AJUTIK.Ru.xyz,Ru,64.13,9,1,0,1,0,0,0,1,0,0,1,0,0,8
AJUTOQ.Ru.xyz,Ru,64.21,9,1,0,1,0,0,0,1,0,0,1,0,0,8
AJUVAE.Ru.xyz,Ru,55.84,9,1,0,1,0,0,0,1,0,0,1,0,0,8
AJUWIN.Ru.xyz,Ru,64.06,6,1,0,1,1,0,0,0,0,0,1,0,17,8
AJUWOT.Ru.xyz,Ru,64.6,6,1,0,1,1,0,0,0,0,0,1,0,17,8
AKASOW.Ni.xyz,Ni,42.14,5,1,0,0,0,0,0,0,1,0,0,1,0,10
AKIKAH.Ir.xyz,Ir,69.59,6,1,0,0,0,0,0,1,0,1,1,0,16,9
AKINOY.Ir.xyz,Ir,74.07,6,1,0,1,1,0,0,0,0,0,1,0,17,9
AKINUE.Ir.xyz,Ir,73.29,6,1,0,1,1,0,0,0,0,0,1,0,17,9
AKIPAM.Ir.xyz,Ir,72.62,6,1,0,1,1,0,0,0,0,0,1,0,17,9
AKIVOF.Ir.xyz,Ir,67.47,6,1,0,1,0,0,0,0,1,0,1,0,6,9
AKOYIJ.Pt.xyz,Pt,60.33,4,1,0,0,0,0,0,0,1,0,0,0,0,10
AKOYOP.Pt.xyz,Pt,65.19,4,1,0,1,0,0,0,0,1,0,0,0,6,10
ALAGUQ.Os.xyz,Os,68.41,6,1,0,0,0,0,0,1,1,0,0,0,0,8
ALAHAX.Ir.xyz,Ir,65.8,6,2,0,1,1,0,0,0,1,0,0,0,1,9
ALECAV.Ru.xyz,Ru,69.94,8,1,0,1,0,0,0,0,1,0,0,0,0,8
ALECEZ.Ru.xyz,Ru,69.01,8,1,0,1,0,0,0,0,1,0,0,0,0,8
ALECID.Ru.xyz,Ru,69.75,8,1,0,1,0,0,0,0,1,0,0,0,0,8
ALECOJ.Ru.xyz,Ru,68.99,8,1,0,1,0,0,0,0,1,0,0,0,0,8
ALOBIM.W.xyz,W,62.33,6,1,0,1,0,0,0,0,1,0,0,0,6,6
ALOTUR.Ni.xyz,Ni,56.64,4,1,0,1,0,0,0,1,0,0,0,0,0,10
ALOTUR01.Ni.xyz,Ni,56.64,4,1,0,1,0,0,0,1,0,0,0,0,0,10
AMACIA.Ir.xyz,Ir,57.06,5,1,0,1,1,0,0,0,1,0,0,0,0,9
AMACOG.Ir.xyz,Ir,66.61,6,1,0,1,1,0,0,0,1,0,0,0,6,9
AMADAT.Ir.xyz,Ir,67.59,6,1,0,1,1,0,0,0,1,0,0,0,6,9
AMEBIE.Ir.xyz,Ir,75.59,6,1,0,1,1,0,0,0,1,0,0,-1,7,9
AMIDEG.Zn.xyz,Zn,71.95,4,1,0,0,1,0,0,0,0,0,0,0,0,12
AMIKEO.Os.xyz,Os,66.59,7,3,0,1,1,0,0,0,1,0,0,0,0,8
AMIPAO.Ni.xyz,Ni,48.18,4,1,0,1,0,0,0,0,1,0,0,0,6,10
AMIPES.Ni.xyz,Ni,51.95,4,1,0,1,0,0,0,0,1,0,0,0,6,10
AMUKAV.Mo.xyz,Mo,67.63,10,1,0,1,0,0,0,1,0,0,0,0,0,6
ANAWOC.Ti.xyz,Ti,38.69,11,1,0,1,1,0,0,0,0,0,0,0,0,4
ANAYOE.Ir.xyz,Ir,68.03,5,2,0,0,0,0,0,0,1,0,1,0,0,9
ANAYUK.Ir.xyz,Ir,69.78,6,3,0,1,0,0,0,0,1,0,0,0,0,9
ANAZAR.Ir.xyz,Ir,69.92,5,2,0,0,0,1,0,0,1,0,0,0,0,9
ANAZEV.Ir.xyz,Ir,76.67,4,1,0,0,1,0,0,0,1,0,0,0,7,9
ANAZIZ.Ir.xyz,Ir,67.95,6,4,0,0,0,0,0,0,1,0,0,0,1,9
ANAZUL.Ir.xyz,Ir,69.25,7,5,0,0,0,0,0,0,1,0,0,0,0,9
ANEBAX.Ir.xyz,Ir,75.13,4,1,0,1,0,0,0,0,1,0,0,-1,0,9
ANEBEB.Ir.xyz,Ir,67.32,6,3,0,0,0,1,0,0,1,0,0,0,0,9
ANEBIF.Ir.xyz,Ir,76.73,5,1,0,0,0,0,0,1,1,0,1,0,0,9
ANEBOL.Ir.xyz,Ir,74.82,5,1,0,0,0,0,0,1,1,0,1,0,35,9
ANEBUR.Ir.xyz,Ir,73.19,4,1,0,0,0,0,0,1,1,0,0,0,0,9
ANECAY.Ir.xyz,Ir,71.56,6,1,0,1,0,0,0,1,1,0,1,0,35,9
ANECEC.Ir.xyz,Ir,73.15,6,1,0,0,1,0,0,1,1,0,1,0,17,9
ANECIG.Ir.xyz,Ir,77.81,7,1,0,1,0,1,0,1,1,0,0,0,8,9
ANESIY.Mn.xyz,Mn,54.06,6,1,0,1,1,0,0,0,1,0,0,0,6,7
ANEWAS.Ru.xyz,Ru,63.88,6,1,0,1,1,0,0,0,1,0,0,0,0,8
ANIKIS.Ir.xyz,Ir,70.27,6,4,0,1,0,0,0,0,0,0,0,1,0,9
ANILAL.Rh.xyz,Rh,58.37,7,4,1,1,0,0,0,0,0,0,0,1,1,9
ANILOZ.Rh.xyz,Rh,61.49,7,4,1,1,0,0,0,0,0,0,0,1,1,9
ANIMIU.Rh.xyz,Rh,60.34,5,2,0,1,0,1,0,0,0,0,0,1,0,9
ANUZIT.Mn.xyz,Mn,56.45,6,1,0,1,0,0,0,0,1,0,0,0,6,7
ANUZIT.Tc.xyz,Tc,61.35,6,1,0,1,0,0,0,0,1,0,0,0,6,7
ANUZOZ.Mn.xyz,Mn,57.96,6,1,0,1,0,0,0,0,1,0,0,0,6,7
APECOP.Ir.xyz,Ir,64.21,6,2,0,1,0,0,0,0,1,0,0,0,1,9
APECUV.Ir.xyz,Ir,65.15,6,2,0,1,0,0,0,0,1,0,0,0,1,9
APEDAC.Ir.xyz,Ir,65.18,6,2,0,1,0,0,0,0,1,0,0,0,1,9
APODUH.Ir.xyz,Ir,63.22,8,1,0,1,1,0,0,0,1,0,0,0,0,9
APOFAP.Ir.xyz,Ir,65.33,8,1,0,1,1,0,0,0,1,0,0,0,0,9
APOFET.Ir.xyz,Ir,69.04,8,1,1,1,0,0,0,0,1,0,0,0,0,9
APORAB.Pd.xyz,Pd,64.3,4,1,0,0,1,0,0,0,1,0,0,0,7,10
APORUV.Pt.xyz,Pt,77.28,4,1,0,0,1,0,0,0,1,0,0,0,7,10
APUBAO.Y.xyz,Y,68.37,8,1,0,1,1,0,0,0,0,0,0,0,0,3
APUBAQ.Fe.xyz,Fe,43.56,6,1,0,1,0,0,0,0,1,0,0,0,6,8
APUBEU.Fe.xyz,Fe,48.01,6,1,0,1,0,0,0,0,1,0,0,0,6,8
APUCEV.Fe.xyz,Fe,48.21,6,1,0,1,0,0,0,0,1,0,0,0,6,8
APUGAT.Y.xyz,Y,73.7,10,3,0,1,0,1,0,0,1,0,0,0,0,3
AQATOD.Fe.xyz,Fe,51.38,6,1,0,1,1,1,0,0,1,0,0,0,8,8
AQAVIZ.Fe.xyz,Fe,49.29,6,1,0,1,1,0,0,0,1,0,1,0,35,8
AQAVOF.Fe.xyz,Fe,46.49,6,1,0,1,1,0,0,0,1,0,0,1,6,8
AQECOP.Pt.xyz,Pt,67.25,4,1,0,0,0,0,0,0,1,1,0,0,15,10
AQECUV.Pt.xyz,Pt,59.47,4,1,0,0,0,0,0,0,1,1,0,0,15,10
AQESUL.Rh.xyz,Rh,58.25,6,1,0,1,1,1,0,0,0,0,1,0,8,9
AQIGIS.Ru.xyz,Ru,55.89,6,1,0,1,1,0,0,0,0,0,1,0,35,8
AQIGOY.Ru.xyz,Ru,65.37,6,1,0,1,1,0,0,0,0,0,0,1,7,8
AQIGUE.Ru.xyz,Ru,66.23,6,1,0,1,1,0,0,0,0,0,0,1,7,8
AQIHAL.Ru.xyz,Ru,65.39,6,1,0,1,1,0,0,0,0,0,0,1,7,8
AQIHEP.Ru.xyz,Ru,65.72,6,1,0,1,1,0,0,0,0,0,0,1,7,8
AQIHIT.Ru.xyz,Ru,60.09,6,1,0,1,1,0,0,0,1,0,0,1,15,8
AQIJAN.Ir.xyz,Ir,66.41,6,1,0,1,0,0,0,0,1,0,0,2,0,9
AQIJER.Ir.xyz,Ir,67.37,6,1,0,1,0,0,0,0,1,0,0,2,0,9
AQTPRU.Ru.xyz,Ru,57.28,6,1,0,1,0,1,0,0,1,0,0,1,6,8
AQUFUN.Fe.xyz,Fe,44.18,5,1,0,1,1,0,0,0,0,0,0,0,0,8
AQUGEY.Fe.xyz,Fe,39.19,5,1,0,1,1,0,0,0,0,0,0,0,0,8
AQUGUP.Os.xyz,Os,67.24,9,2,0,1,0,0,0,0,1,0,0,1,0,8
ARAQEP.Rh.xyz,Rh,55.62,6,1,0,0,1,0,0,0,1,0,1,0,17,9
ARAQIT.Rh.xyz,Rh,54.98,6,1,0,0,1,0,0,0,1,1,0,0,16,9
AREHOV.W.xyz,W,63.8,10,1,0,1,1,0,0,1,0,0,0,0,0,6
AREPOE.Os.xyz,Os,67.12,8,3,0,1,1,0,0,0,1,0,0,0,6,8
AREPUK.Os.xyz,Os,66.59,8,3,0,1,1,0,0,0,1,0,0,0,6,8
ARIBEK.Fe.xyz,Fe,43.83,4,1,0,0,1,0,0,0,1,0,0,0,0,8
AROJOH.Ru.xyz,Ru,64.68,6,1,0,0,1,0,0,0,1,0,1,0,0,8
AROJUN.Ru.xyz,Ru,62.51,5,1,0,0,1,0,0,0,1,0,0,1,0,8
AROPIG.Ir.xyz,Ir,67.24,7,1,0,1,0,0,0,0,1,0,1,1,35,9
ARUWAN.Nb.xyz,Nb,42.02,9,1,0,1,1,0,0,0,0,0,0,0,0,5
ASAPEQ.Pt.xyz,Pt,66.12,5,1,0,0,0,0,0,1,1,0,0,0,14,10
ASAQAN.Pt.xyz,Pt,66.93,5,1,0,0,0,0,0,1,1,0,0,0,14,10
